,Title,Auction Type,Artist Name #1,Artist Name #2,Instagram Page,Instagram Page 2,Instagram Followers,Instagram Followers 2,Avg Likes,Avg Likes2,Spotify Monthly Listeners #1,Spotify Page #2,Spotify Monthly Listeners #2,SoundCloud Page,SoundCloud Followers,SoundCloud Page #2,SoundCloud Followers #2,YouTube Page,YouTube Subscribers,YouTube Total Views,Price,12 Month Royalties,,
72,Songwriter Royalties — Country Duo High Valley,Music,Jessica Mitchell ,,,,,,nan,nan,,,,Jessica Mitchell,50,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,68250,125409,,
73,Film Proceeds: 2008’s “Repo! The Genetic Opera”,Movie ,,,,,,,nan,nan,,,,,935,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,563000,48457,,
74,Country From Tim McGraw & Florida Georgia Line,Music,Tim McGraw ,Florida Georgia Line ,thetimmcgraw,floridageorgialine,2938410,2158877,37055,16040,,,,Tim McGraw,14443,Florida Georgia Line,43462,https://www.youtube.com/user/floridageorgialine,,1834899392,112500,3363,,
75,Diverse Catalog: Hip-Hop & Global Pop,Music,Trippie Redd ,Black Jezuss ,trippieredd,blackjezuss_,12394239,78493,857270,3939,,,,Trippie Redd,1554220,Black Jezuss,873,https://www.youtube.com/channel/UCvPfBaFFv7ArIDTqqCUhW0A,,1598342,26250,7817,,
76,Country Performance Royalties: High Valley,Music,Tim Hicks ,,timhicksmusic,,39244,,360,nan,,,,Tim Hicks,730,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,54000,1685,,
77,Production Music: Sportscasts & Reality TV,Music,,,,,,,nan,nan,,,,,935,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,12100,22504,,
78,Avicii Publishing Royalties,Music,Avicii,,,,,,nan,nan,,,,Avicii,1913766,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,65000,14857,,
79,Performance Royalties from Trey Songz & Kevin Gates,Music,Trey Songz ,Kevin Gates ,treysongz,iamkevingates,12758152,8911739,135312,68174,,,,Trey Songz,139046,Kevin Gates,743509,https://www.youtube.com/channel/UCXeDF3nhtGMcjHuL-mX9Swg,,23,75500,203053,,
80,Luke Combs: “She Got the Best of Me”,Music,Luke Combs ,,lukecombs,,3809670,,268723,nan,,,,Luke Combs,53531,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,432000,3775,,
81,90’s R&B Featured in Sitcom “Friends”,TV Show ,,,,,,,nan,nan,,,,,935,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,29500,13161,,
82,Publishing Royalties: Charlie Wilson & More,Music,Charlei Wilson ,T.I. ,,,,,nan,nan,,,,,,T.I.,112566,https://www.youtube.com/user/TheBookGoddess333,,4912662,66000,82030,,
83,Evanescence’s Multi-Platinum Record “Fallen”,Music,Evanscence,,evanescenceofficial,,1395620,,20976,nan,,,,Evanscence,210,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,705500,33457,,
84,17-Year-Old Hip-Hop — Publishing Royalties,Music,Talib Kweli ,50 Cent ,talibkweli,50cent,1013866,26733666,3075,116809,,,,Talib Kweli,43210,50 Cent,1778989,https://www.youtube.com/user/50CentMusic,,7066561611,224500,23020,,
85,J. Cole Performance Royalties,Music,Drake,En Vogue,champagnepapi,envoguemusic,84422747,94802,1248171,1718,,,,Drake,2755812,En Vogue,1047,https://www.youtube.com/user/envogue,,121738523,94750,6436,,
86,R&B and K-Pop Performance Royalties,Music,Charlie Wilson,NCT 127,,,,,nan,nan,,,,Charlie Wilson,10473,NCT 127,101570,https://www.youtube.com/channel/UCk2E0dbAyEJWnrN2bbQOcbg,,276933226,36050,26736,,
87,Anderson .Paak & 50 Cent — Songwriter Royalties,Music,Anderson .Paak,50 Cent,anderson._paak,50cent,2497998,26733666,217278,116811,,,,Anderson .Paak,258597,50 Cent,1778989,https://www.youtube.com/user/50CentMusic,,7066561611,207500,12277,,
88,Misfits Publishing Royalties,Music,The Misfits,,,,,,nan,nan,,,,The Misfits,173,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,137200,3414,,
89,Country Music Public Performance Royalties,Music,Taylor Acorn,,tayloracornmusic,,48385,,2451,nan,,,,Taylor Acorn,20,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,24950,105180,,
90,Slipknot & Simple Plan — Producer Royalties,Music,Slipknot,Simple Plan,slipknot,simpleplan,4975480,437248,153233,25920,,,,Slipknot,100227,Simple Plan,14414,https://www.youtube.com/user/SimplePlan,,595209461,898000,10234,,
91,Latin Hip-Hop Performance Royalties,Music,Lary Over,Amenazzy,laryover,amenazzy,5447870,3684757,40488,54629,,,,Lary Over,76967,Amenazzy,4506,https://www.youtube.com/channel/UCJf6Ne01jABtlWt8qwQpuww,,882905367,25000,2595,,
92,Electronic Music: Sound Recording Royalties + Copyrights,Music,Cell,Zen Mechanics,,,,,nan,nan,,,,Cell,13112,Zen Mechanics,4331,https://www.youtube.com/channel/UCOmSDzXeSVR2BicmV2X1iYA,,2036959,27500,67800,,
93,Publishing Royalties: Dua Lipa M.I.A. & Others,Music,Dua Lipa,Yungen,dualipa,foreveryungs,68236157,279230,1341989,11834,,,,Dua Lipa,252266,Yungen,5343,https://www.youtube.com/user/YungenMusic,,131290333,207500,31051,,
94,Songwriter Royalties: Dua Lipa & More,Music,Dua Lipa,Yungen,dualipa,foreveryungs,68236144,279230,1341991,11834,,,,Dua Lipa,252266,Yungen,5343,https://www.youtube.com/user/YungenMusic,,131290333,123000,8931,,
95,Performance Royalties: Tauren Wells’ “Hills and Valleys”,Music,Tauren Wells,Rachael Nemiroff,taurenwells,rachaelnemiroff,599897,13749,10894,644,,,,Tauren Wells,4285,Rachael Nemiroff,3,https://www.youtube.com/channel/UC7GXlY33czvkfhsFzbbOz9Q,,710090,50300,40401,,
96,Rihanna’s “Don’t Stop The Music” — Publishing Royalties,Music,Rihanna,Michael Jackson,badgalriri,,99534872,,4287989,nan,,,,Rihanna,1932651,Michael Jackson,217792,https://www.youtube.com/user/michaeljackson,,10533324273,203000,1499,,
97,Performance Royalties From Tinashe & Others,Music,Tinashe,T-Pain,tinashenow,tpain,3193280,2621371,53207,13059,,,,Tinashe,165261,T-Pain,87894,https://www.youtube.com/channel/UCwff7OoSHp3el6GqnSwcSdA,,1396743788,6600,9324,,
98,Christian Rock: We Are Messengers and Crowder,Music,We Are Messengers,Crowder,wearemessengers,louderwithcrowder,121364,1061808,1414,37257,,,,We Are Messengers,1819,Crowder,3113,https://www.youtube.com/user/StevenCrowder,,1362605443,35700,3747,,
99,Diverse Performance Royalties: Production + Dance,Music,Sophie Rose,LIL PHAG,sophierosemusic,elijahdaniel,10441,410643,204,33554,,,,Sophie Rose,886,LIL PHAG,304,https://www.youtube.com/channel/UCsqQZMME2nJHEsFHJX_PFxw,,4675767,20000,1273,,
100,Anarbor: Alt-Rock Performance Royalties,Music,Anarbor,,anarbor,,16098,nan,802,nan,,,,Anarbor,2042,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,14450,19826,,
101,Drake’s “Fire & Desire” — Publishing Royalties,Music,Drake,En Vogue,champagnepapi,envoguemusic,84423250,94803,1248181,1719,,,,Drake,2755812,En Vogue,1047,https://www.youtube.com/user/envogue,,121738523,59000,26385,,
102,Christian Rock From We Are Messengers,Music,We Are Messengers,,wearemessengers,,121364,nan,1414,nan,,,,We Are Messengers,1819,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,75000,4907,,
103,Stars Go Dim Performance Royalties,Music,Stars Go Dim,,,,,nan,nan,nan,,,,Stars Go Dim,1044,,938,https://www.youtube.com/channel/UCET76gyUcB7PS55jMbOppXw,,13892,23500,2060,,
